uid,id,country,gender,group,dt,total_spent,group,join_dt,device,join_dt
1000028,1000028,BRA,F,A,,0,A,2023-01-28,A,2023-01-28
1000029,1000029,MEX,M,A,,0,A,2023-01-25,A,2023-01-25
1000030,1000030,FRA,F,A,,0,A,2023-01-26,I,2023-01-26
1000031,1000031,GBR,F,B,,0,B,2023-01-25,I,2023-01-25
1000032,1000032,GBR,,A,,0,A,2023-01-27,I,2023-01-27
1000033,1000033,FRA,,A,,0,A,2023-01-31,A,2023-01-31
1000034,1000034,USA,M,A,,0,A,2023-01-26,A,2023-01-26
1000035,1000035,USA,F,B,,0,B,2023-01-27,A,2023-01-27
1000036,1000036,USA,F,B,,0,B,2023-01-30,A,2023-01-30
1000037,1000037,TUR,M,B,,0,B,2023-01-26,A,2023-01-26
1000038,1000038,BRA,M,A,,0,A,2023-01-25,A,2023-01-25
1000039,1000039,GBR,F,B,2023-02-04,36.65,B,2023-02-04,A,2023-02-04
1000040,1000040,USA,F,A,,0,A,2023-01-25,A,2023-01-25
1000041,1000041,CAN,M,A,,0,A,2023-01-27,A,2023-01-27
1000042,1000042,BRA,F,A,,0,A,2023-01-25,I,2023-01-25
1000043,1000043,,F,B,,0,B,2023-01-25,A,2023-01-25
1000044,1000044,USA,,B,,0,B,2023-01-27,A,2023-01-27
1000045,1000045,USA,F,B,2023-01-30,51.58,B,2023-01-26,I,2023-01-26
1000046,1000046,BRA,M,A,,0,A,2023-01-26,I,2023-01-26
1000047,1000047,USA,F,A,,0,A,2023-01-26,A,2023-01-26
1000048,1000048,CAN,F,A,,0,A,2023-01-26,I,2023-01-26
1000049,1000049,USA,F,A,,0,A,2023-01-26,A,2023-01-26
1000050,1000050,MEX,M,A,,0,A,2023-01-29,A,2023-01-29
1000051,1000051,MEX,,B,,0,B,2023-01-29,I,2023-01-29
1000052,1000052,BRA,M,B,,0,B,2023-01-30,I,2023-01-30
1000053,1000053,BRA,M,A,,0,A,2023-01-28,A,2023-01-28
1000054,1000054,GBR,F,B,,0,B,2023-01-25,A,2023-01-25
1000055,1000055,ESP,M,A,,0,A,2023-01-25,A,2023-01-25
1000056,1000056,AUS,M,B,,0,B,2023-01-29,A,2023-01-29
1000057,1000057,BRA,O,B,,0,B,2023-01-26,A,2023-01-26
1000058,1000058,TUR,F,A,,0,A,2023-01-26,A,2023-01-26
1000059,1000059,DEU,F,A,,0,A,2023-01-27,A,2023-01-27
1000061,1000061,DEU,M,B,,0,B,2023-01-25,A,2023-01-25
1000062,1000062,AUS,F,B,,0,B,2023-01-25,I,2023-01-25
1000063,1000063,USA,F,A,,0,A,2023-01-27,A,2023-01-27
1000064,1000064,CAN,M,B,,0,B,2023-01-31,A,2023-01-31
1000065,1000065,TUR,F,B,,0,B,2023-02-01,I,2023-02-01
1000066,1000066,DEU,,A,,0,A,2023-01-25,A,2023-01-25
1000067,1000067,BRA,M,A,,0,A,2023-01-27,A,2023-01-27
1000068,1000068,GBR,F,B,,0,B,2023-01-30,A,2023-01-30
1000069,1000069,ESP,M,B,,0,B,2023-01-30,A,2023-01-30
1000070,1000070,ESP,M,A,,0,A,2023-01-26,I,2023-01-26
1000071,1000071,USA,F,B,2023-02-02,6.71,B,2023-01-31,I,2023-01-31
1000072,1000072,DEU,F,B,,0,B,2023-01-28,I,2023-01-28
1000073,1000073,USA,M,A,,0,A,2023-01-29,A,2023-01-29
1000074,1000074,BRA,O,B,,0,B,2023-01-30,A,2023-01-30
1000075,1000075,GBR,M,A,,0,A,2023-01-30,A,2023-01-30
1000076,1000076,USA,F,A,,0,A,2023-01-25,I,2023-01-25
1000077,1000077,AUS,F,A,,0,A,2023-01-25,,2023-01-25
1000078,1000078,FRA,F,A,,0,A,2023-01-26,A,2023-01-26
1000080,1000080,USA,,A,,0,A,2023-01-26,A,2023-01-26
1000081,1000081,USA,F,A,,0,A,2023-01-26,A,2023-01-26
1000082,1000082,BRA,M,B,,0,B,2023-01-25,A,2023-01-25
1000083,1000083,BRA,F,A,,0,A,2023-01-27,A,2023-01-27
1000084,1000084,MEX,M,A,,0,A,2023-01-26,A,2023-01-26
1000085,1000085,MEX,M,A,,0,A,2023-01-26,I,2023-01-26
1000086,1000086,BRA,M,B,,0,B,2023-01-28,A,2023-01-28
1000087,1000087,ESP,M,B,,0,B,2023-01-28,A,2023-01-28
1000088,1000088,,O,B,,0,B,2023-01-27,A,2023-01-27
1000089,1000089,BRA,F,A,,0,A,2023-01-25,I,2023-01-25
1000090,1000090,USA,F,B,,0,B,2023-01-27,A,2023-01-27
1000091,1000091,BRA,M,B,,0,B,2023-01-26,A,2023-01-26
1000092,1000092,BRA,,B,,0,B,2023-02-03,I,2023-02-03
1000093,1000093,TUR,M,B,,0,B,2023-01-30,I,2023-01-30
1000094,1000094,DEU,M,B,,0,B,2023-01-26,A,2023-01-26
1000095,1000095,CAN,F,B,,0,B,2023-01-27,I,2023-01-27
1000096,1000096,USA,F,B,,0,B,2023-01-29,A,2023-01-29
1000097,1000097,MEX,O,B,,0,B,2023-01-26,I,2023-01-26
1000098,1000098,GBR,M,A,,0,A,2023-01-30,A,2023-01-30
1000099,1000099,USA,,A,,0,A,2023-02-03,A,2023-02-03
1000100,1000100,,M,B,,0,B,2023-01-31,A,2023-01-31
1000101,1000101,MEX,F,B,2023-02-05,5.674496940652932,B,2023-02-02,A,2023-02-02
1000101,1000101,MEX,F,B,2023-02-02,18.13,B,2023-02-02,A,2023-02-02
1000102,1000102,USA,M,A,,0,A,2023-01-28,A,2023-01-28
1000103,1000103,BRA,M,A,,0,A,2023-02-02,A,2023-02-02
1000104,1000104,USA,,A,,0,A,2023-01-29,A,2023-01-29
1000105,1000105,USA,M,A,,0,A,2023-01-25,I,2023-01-25
1000106,1000106,TUR,,A,,0,A,2023-01-27,A,2023-01-27
1000107,1000107,BRA,,A,,0,A,2023-01-25,A,2023-01-25
1000108,1000108,MEX,M,B,,0,B,2023-02-02,A,2023-02-02
1000109,1000109,MEX,M,B,,0,B,2023-01-25,A,2023-01-25
1000110,1000110,USA,M,A,,0,A,2023-01-29,A,2023-01-29
1000111,1000111,GBR,,B,,0,B,2023-01-27,A,2023-01-27
1000112,1000112,USA,F,A,,0,A,2023-01-28,A,2023-01-28
1000113,1000113,BRA,M,B,,0,B,2023-01-28,A,2023-01-28
1000114,1000114,CAN,M,A,,0,A,2023-01-28,I,2023-01-28
1000115,1000115,MEX,M,A,,0,A,2023-01-27,A,2023-01-27
1000117,1000117,ESP,,A,,0,A,2023-01-29,I,2023-01-29
1000118,1000118,USA,M,B,,0,B,2023-01-25,,2023-01-25
1000119,1000119,BRA,F,B,,0,B,2023-01-29,A,2023-01-29
1000120,1000120,TUR,M,B,,0,B,2023-01-28,I,2023-01-28
1000121,1000121,ESP,F,B,,0,B,2023-01-25,A,2023-01-25
1000122,1000122,BRA,F,A,,0,A,2023-01-28,A,2023-01-28
1000123,1000123,DEU,,B,2023-01-26,100.74,B,2023-01-26,I,2023-01-26
1000124,1000124,MEX,M,B,,0,B,2023-01-30,A,2023-01-30
1000125,1000125,DEU,F,A,,0,A,2023-02-04,A,2023-02-04
1000126,1000126,TUR,F,A,,0,A,2023-02-03,I,2023-02-03
1000127,1000127,USA,F,B,,0,B,2023-01-26,A,2023-01-26
1000128,1000128,GBR,M,B,,0,B,2023-02-03,A,2023-02-03
1000129,1000129,DEU,M,A,,0,A,2023-01-31,I,2023-01-31
1000130,1000130,USA,M,B,,0,B,2023-01-27,A,2023-01-27
1000131,1000131,BRA,,A,,0,A,2023-01-25,A,2023-01-25
1000132,1000132,USA,F,B,,0,B,2023-02-06,I,2023-02-06
1000133,1000133,USA,,A,,0,A,2023-01-29,I,2023-01-29
1000134,1000134,USA,,B,,0,B,2023-01-28,I,2023-01-28
1000135,1000135,USA,M,B,,0,B,2023-01-25,I,2023-01-25
1000136,1000136,MEX,M,A,,0,A,2023-01-25,A,2023-01-25
1000137,1000137,USA,M,A,,0,A,2023-01-29,A,2023-01-29
1000138,1000138,BRA,M,B,,0,B,2023-01-28,I,2023-01-28
1000139,1000139,USA,,A,,0,A,2023-01-25,I,2023-01-25
1000140,1000140,USA,M,A,,0,A,2023-01-27,I,2023-01-27
1000141,1000141,BRA,M,A,2023-01-25,11.49,A,2023-01-25,A,2023-01-25
1000142,1000142,USA,F,B,,0,B,2023-01-26,,2023-01-26
1000143,1000143,USA,,B,,0,B,2023-01-25,I,2023-01-25
1000144,1000144,USA,M,A,,0,A,2023-01-26,I,2023-01-26
1000145,1000145,MEX,,A,,0,A,2023-01-25,I,2023-01-25
1000146,1000146,BRA,F,A,,0,A,2023-01-29,A,2023-01-29
1000147,1000147,TUR,F,A,,0,A,2023-02-03,A,2023-02-03
1000148,1000148,FRA,M,A,,0,A,2023-01-26,I,2023-01-26
1000149,1000149,,M,A,,0,A,2023-01-25,I,2023-01-25
1000150,1000150,USA,F,B,,0,B,2023-02-05,I,2023-02-05
1000151,1000151,MEX,M,A,,0,A,2023-01-28,I,2023-01-28
1000152,1000152,MEX,F,B,,0,B,2023-02-06,I,2023-02-06
1000153,1000153,USA,F,B,,0,B,2023-01-27,A,2023-01-27
1000155,1000155,DEU,M,A,,0,A,2023-01-26,I,2023-01-26
1000156,1000156,BRA,M,A,,0,A,2023-01-25,I,2023-01-25
1000157,1000157,ESP,F,A,,0,A,2023-01-28,I,2023-01-28
1000158,1000158,TUR,M,A,,0,A,2023-01-26,I,2023-01-26
1000160,1000160,USA,F,A,2023-01-29,35.34,A,2023-01-25,A,2023-01-25
1000161,1000161,,M,A,,0,A,2023-01-31,A,2023-01-31
1000162,1000162,BRA,M,A,2023-01-27,52.92,A,2023-01-27,A,2023-01-27
1000163,1000163,BRA,F,B,,0,B,2023-01-29,A,2023-01-29
1000164,1000164,BRA,F,B,,0,B,2023-01-26,A,2023-01-26
1000165,1000165,GBR,M,B,,0,B,2023-01-30,I,2023-01-30
1000166,1000166,DEU,M,A,,0,A,2023-02-04,A,2023-02-04
1000167,1000167,BRA,F,A,,0,A,2023-01-25,A,2023-01-25
1000168,1000168,BRA,F,A,,0,A,2023-02-05,A,2023-02-05
1000169,1000169,USA,O,A,,0,A,2023-01-26,I,2023-01-26
1000170,1000170,USA,M,B,,0,B,2023-02-01,A,2023-02-01
1000171,1000171,USA,M,A,,0,A,2023-01-27,I,2023-01-27
1000172,1000172,USA,,A,,0,A,2023-01-25,I,2023-01-25
1000173,1000173,USA,F,A,,0,A,2023-01-25,I,2023-01-25
1000174,1000174,TUR,M,B,,0,B,2023-01-29,A,2023-01-29
1000175,1000175,AUS,F,A,,0,A,2023-01-25,I,2023-01-25
1000177,1000177,DEU,F,A,,0,A,2023-02-02,A,2023-02-02
1000178,1000178,USA,M,B,,0,B,2023-02-03,I,2023-02-03
1000179,1000179,USA,M,B,,0,B,2023-01-27,A,2023-01-27
1000180,1000180,USA,M,B,,0,B,2023-01-25,I,2023-01-25
1000181,1000181,USA,F,A,,0,A,2023-02-03,I,2023-02-03
1000182,1000182,TUR,F,B,,0,B,2023-01-31,A,2023-01-31
1000183,1000183,MEX,M,B,,0,B,2023-01-27,A,2023-01-27
1000184,1000184,ESP,M,A,,0,A,2023-01-25,A,2023-01-25
1000185,1000185,MEX,F,B,2023-02-06,53.07,B,2023-02-04,I,2023-02-04
1000186,1000186,MEX,F,A,,0,A,2023-02-01,A,2023-02-01
1000187,1000187,,M,B,,0,B,2023-01-26,I,2023-01-26
1000188,1000188,USA,M,B,,0,B,2023-01-25,A,2023-01-25
1000189,1000189,CAN,,B,,0,B,2023-01-25,I,2023-01-25
1000190,1000190,GBR,M,A,,0,A,2023-02-05,I,2023-02-05
1000191,1000191,FRA,F,B,,0,B,2023-01-25,A,2023-01-25
1000192,1000192,ESP,F,A,,0,A,2023-02-05,I,2023-02-05
1000193,1000193,BRA,F,B,,0,B,2023-01-26,A,2023-01-26
1000194,1000194,MEX,F,A,,0,A,2023-01-31,A,2023-01-31
1000195,1000195,GBR,F,A,,0,A,2023-01-25,A,2023-01-25
1000196,1000196,MEX,M,A,,0,A,2023-01-26,A,2023-01-26
1000197,1000197,TUR,F,B,,0,B,2023-01-30,A,2023-01-30
1000198,1000198,USA,M,A,,0,A,2023-01-28,A,2023-01-28
1000199,1000199,MEX,F,B,,0,B,2023-02-06,I,2023-02-06
1000200,1000200,USA,F,A,2023-01-26,166.32,A,2023-01-26,I,2023-01-26
1000201,1000201,CAN,F,B,,0,B,2023-01-27,I,2023-01-27
1000202,1000202,MEX,M,A,,0,A,2023-01-26,A,2023-01-26
1000203,1000203,DEU,M,A,,0,A,2023-01-26,A,2023-01-26
1000204,1000204,DEU,M,B,,0,B,2023-01-27,A,2023-01-27
1000205,1000205,BRA,,A,,0,A,2023-01-29,A,2023-01-29
1000206,1000206,USA,F,A,,0,A,2023-01-26,I,2023-01-26
1000207,1000207,TUR,F,A,,0,A,2023-01-26,A,2023-01-26
1000208,1000208,USA,F,A,,0,A,2023-01-25,I,2023-01-25
1000209,1000209,ESP,,B,,0,B,2023-02-05,A,2023-02-05
1000210,1000210,FRA,F,A,,0,A,2023-01-28,I,2023-01-28
1000211,1000211,USA,M,B,,0,B,2023-01-30,A,2023-01-30
1000212,1000212,MEX,F,A,,0,A,2023-01-31,A,2023-01-31
1000213,1000213,AUS,M,B,,0,B,2023-01-26,I,2023-01-26
1000214,1000214,FRA,F,B,,0,B,2023-01-25,A,2023-01-25
1000215,1000215,,M,B,,0,B,2023-02-02,I,2023-02-02
1000216,1000216,USA,M,B,,0,B,2023-01-27,I,2023-01-27
1000217,1000217,BRA,,B,,0,B,2023-01-26,A,2023-01-26
1000218,1000218,USA,F,B,,0,B,2023-01-25,A,2023-01-25
1000219,1000219,ESP,F,A,,0,A,2023-01-25,A,2023-01-25
1000220,1000220,USA,,A,,0,A,2023-01-26,I,2023-01-26
1000221,1000221,DEU,M,A,,0,A,2023-01-27,A,2023-01-27
1000222,1000222,USA,M,A,,0,A,2023-02-01,A,2023-02-01
1000223,1000223,DEU,M,A,,0,A,2023-02-01,I,2023-02-01
1000224,1000224,GBR,F,A,,0,A,2023-02-05,A,2023-02-05
1000225,1000225,USA,M,B,,0,B,2023-01-28,A,2023-01-28
1000226,1000226,CAN,M,A,,0,A,2023-01-31,,2023-01-31
1000227,1000227,GBR,F,A,,0,A,2023-01-25,I,2023-01-25
1000228,1000228,USA,F,B,,0,B,2023-02-01,I,2023-02-01
1000229,1000229,USA,M,A,,0,A,2023-01-28,I,2023-01-28
1000230,1000230,BRA,O,B,,0,B,2023-01-25,I,2023-01-25
1000231,1000231,FRA,F,B,,0,B,2023-01-25,I,2023-01-25
1000232,1000232,BRA,F,B,,0,B,2023-01-29,A,2023-01-29
1000233,1000233,MEX,M,A,,0,A,2023-01-26,A,2023-01-26
1000234,1000234,GBR,M,B,,0,B,2023-02-02,A,2023-02-02
1000235,1000235,FRA,M,A,,0,A,2023-02-06,I,2023-02-06
1000236,1000236,BRA,M,B,,0,B,2023-02-05,I,2023-02-05
1000237,1000237,USA,M,B,2023-01-29,13.17,B,2023-01-29,I,2023-01-29
1000238,1000238,USA,M,B,,0,B,2023-01-27,I,2023-01-27
1000239,1000239,TUR,F,A,,0,A,2023-01-25,A,2023-01-25
1000240,1000240,CAN,M,B,,0,B,2023-02-05,I,2023-02-05
1000241,1000241,BRA,,A,,0,A,2023-01-25,A,2023-01-25
1000242,1000242,BRA,M,B,,0,B,2023-01-27,A,2023-01-27
1000243,1000243,USA,F,A,,0,A,2023-01-26,A,2023-01-26
1000244,1000244,USA,M,B,,0,B,2023-01-28,A,2023-01-28
1000245,1000245,MEX,F,A,,0,A,2023-01-25,A,2023-01-25
1000246,1000246,TUR,F,B,,0,B,2023-01-26,I,2023-01-26
1000247,1000247,FRA,F,A,,0,A,2023-01-28,A,2023-01-28
1000248,1000248,FRA,M,A,,0,A,2023-01-25,A,2023-01-25
1000249,1000249,GBR,F,A,,0,A,2023-01-26,,2023-01-26
1000250,1000250,FRA,F,B,,0,B,2023-02-04,A,2023-02-04
1000251,1000251,USA,M,A,,0,A,2023-01-26,A,2023-01-26
1000252,1000252,TUR,F,A,,0,A,2023-02-01,I,2023-02-01
1000253,1000253,DEU,M,B,2023-02-06,40.32,B,2023-02-06,A,2023-02-06
1000254,1000254,ESP,M,B,,0,B,2023-01-30,A,2023-01-30
1000255,1000255,FRA,,B,,0,B,2023-01-26,A,2023-01-26
1000256,1000256,USA,,B,,0,B,2023-01-28,I,2023-01-28
1000257,1000257,GBR,F,B,,0,B,2023-01-29,A,2023-01-29
1000258,1000258,CAN,F,A,,0,A,2023-01-27,I,2023-01-27
1000259,1000259,BRA,M,A,,0,A,2023-02-06,A,2023-02-06
1000260,1000260,USA,F,B,,0,B,2023-02-04,A,2023-02-04
1000261,1000261,TUR,F,A,2023-01-25,205.98,A,2023-01-25,A,2023-01-25
1000262,1000262,MEX,M,A,,0,A,2023-01-31,A,2023-01-31
1000263,1000263,USA,M,B,,0,B,2023-01-31,A,2023-01-31
1000264,1000264,BRA,F,A,,0,A,2023-01-25,A,2023-01-25
1000265,1000265,USA,F,A,,0,A,2023-01-28,A,2023-01-28
1000266,1000266,GBR,M,B,,0,B,2023-01-31,A,2023-01-31
1000267,1000267,USA,M,B,,0,B,2023-01-25,I,2023-01-25
1000268,1000268,BRA,F,A,,0,A,2023-01-31,A,2023-01-31
1000269,1000269,USA,M,A,2023-01-25,116.29,A,2023-01-25,A,2023-01-25
1000270,1000270,AUS,F,A,,0,A,2023-01-26,I,2023-01-26
1000271,1000271,MEX,M,A,,0,A,2023-01-28,A,2023-01-28
1000272,1000272,FRA,M,B,,0,B,2023-01-29,I,2023-01-29
1000273,1000273,DEU,F,B,,0,B,2023-02-03,I,2023-02-03
1000274,1000274,DEU,M,A,,0,A,2023-01-25,I,2023-01-25
1000275,1000275,USA,M,A,,0,A,2023-01-26,I,2023-01-26
1000276,1000276,BRA,M,A,,0,A,2023-01-26,I,2023-01-26
1000277,1000277,BRA,F,A,,0,A,2023-02-03,A,2023-02-03
1000278,1000278,DEU,,A,,0,A,2023-01-29,I,2023-01-29
1000279,1000279,USA,M,A,,0,A,2023-01-25,A,2023-01-25
1000280,1000280,MEX,F,A,,0,A,2023-02-01,A,2023-02-01
1000281,1000281,USA,M,B,,0,B,2023-01-28,A,2023-01-28
1000282,1000282,MEX,M,B,,0,B,2023-02-04,A,2023-02-04
1000283,1000283,USA,M,B,,0,B,2023-02-02,I,2023-02-02
1000284,1000284,BRA,,B,,0,B,2023-01-25,I,2023-01-25
1000285,1000285,,F,A,,0,A,2023-01-25,I,2023-01-25
1000286,1000286,USA,M,A,,0,A,2023-01-30,I,2023-01-30
1000287,1000287,DEU,F,B,,0,B,2023-01-27,I,2023-01-27
1000288,1000288,TUR,F,A,,0,A,2023-01-28,I,2023-01-28
1000289,1000289,DEU,M,B,,0,B,2023-02-04,A,2023-02-04
1000290,1000290,FRA,M,A,,0,A,2023-01-26,I,2023-01-26
1000291,1000291,ESP,M,A,,0,A,2023-01-28,I,2023-01-28
1000292,1000292,ESP,,A,,0,A,2023-01-26,A,2023-01-26
1000294,1000294,MEX,F,B,,0,B,2023-02-02,A,2023-02-02
1000295,1000295,USA,F,B,,0,B,2023-01-27,A,2023-01-27
1000296,1000296,USA,M,A,,0,A,2023-01-29,A,2023-01-29
1000297,1000297,BRA,,B,,0,B,2023-01-26,A,2023-01-26
1000298,1000298,CAN,F,A,,0,A,2023-01-26,A,2023-01-26
1000299,1000299,FRA,M,B,,0,B,2023-01-27,I,2023-01-27
1000300,1000300,MEX,F,A,,0,A,2023-01-26,A,2023-01-26
1000301,1000301,TUR,F,B,,0,B,2023-01-25,I,2023-01-25
1000302,1000302,BRA,F,A,,0,A,2023-01-25,I,2023-01-25
1000303,1000303,DEU,F,B,,0,B,2023-01-29,I,2023-01-29
1000304,1000304,USA,M,A,,0,A,2023-02-03,A,2023-02-03
1000305,1000305,USA,F,A,,0,A,2023-01-26,A,2023-01-26
1000306,1000306,FRA,F,A,,0,A,2023-01-25,A,2023-01-25
1000307,1000307,BRA,M,A,,0,A,2023-01-31,A,2023-01-31
1000308,1000308,BRA,M,A,,0,A,2023-01-27,A,2023-01-27
1000309,1000309,USA,F,B,,0,B,2023-01-26,I,2023-01-26
1000310,1000310,BRA,F,B,,0,B,2023-01-27,A,2023-01-27
1000311,1000311,BRA,F,A,,0,A,2023-01-25,I,2023-01-25
1000312,1000312,MEX,F,B,,0,B,2023-02-04,I,2023-02-04
1000313,1000313,MEX,F,B,,0,B,2023-01-25,I,2023-01-25
1000315,1000315,BRA,F,A,,0,A,2023-02-02,A,2023-02-02
1000316,1000316,USA,F,A,,0,A,2023-02-02,A,2023-02-02
1000317,1000317,FRA,M,B,,0,B,2023-01-27,A,2023-01-27
1000318,1000318,USA,M,B,,0,B,2023-02-03,A,2023-02-03
1000319,1000319,AUS,F,A,,0,A,2023-01-28,A,2023-01-28
1000320,1000320,USA,M,A,,0,A,2023-01-31,A,2023-01-31
1000321,1000321,USA,F,A,,0,A,2023-01-30,A,2023-01-30
1000322,1000322,CAN,,B,,0,B,2023-01-27,A,2023-01-27
1000323,1000323,TUR,F,B,,0,B,2023-01-25,A,2023-01-25
1000325,1000325,MEX,M,A,,0,A,2023-01-30,I,2023-01-30
1000326,1000326,TUR,F,B,,0,B,2023-01-30,A,2023-01-30
1000327,1000327,USA,M,A,,0,A,2023-01-25,A,2023-01-25
1000328,1000328,MEX,F,B,,0,B,2023-01-26,A,2023-01-26
1000329,1000329,USA,M,B,,0,B,2023-01-31,I,2023-01-31
1000330,1000330,TUR,F,B,,0,B,2023-01-26,A,2023-01-26
1000331,1000331,USA,M,A,,0,A,2023-01-27,I,2023-01-27
1000332,1000332,USA,F,A,,0,A,2023-01-25,I,2023-01-25
1000333,1000333,USA,M,A,,0,A,2023-01-26,A,2023-01-26
1000334,1000334,FRA,F,A,,0,A,2023-01-29,I,2023-01-29
1000335,1000335,USA,F,A,,0,A,2023-01-25,A,2023-01-25
1000336,1000336,BRA,M,B,,0,B,2023-01-26,A,2023-01-26
1000337,1000337,MEX,M,A,,0,A,2023-01-25,A,2023-01-25
1000338,1000338,MEX,O,A,,0,A,2023-02-06,I,2023-02-06
1000339,1000339,USA,F,A,,0,A,2023-02-02,A,2023-02-02
1000340,1000340,USA,F,B,,0,B,2023-02-01,I,2023-02-01
1000341,1000341,USA,,A,,0,A,2023-01-28,I,2023-01-28
1000342,1000342,AUS,F,B,,0,B,2023-01-27,I,2023-01-27
1000343,1000343,GBR,O,A,,0,A,2023-02-01,A,2023-02-01
1000344,1000344,USA,F,A,,0,A,2023-01-25,I,2023-01-25
1000345,1000345,GBR,M,A,,0,A,2023-01-25,A,2023-01-25
1000346,1000346,MEX,F,A,,0,A,2023-01-25,I,2023-01-25
1000347,1000347,AUS,O,A,,0,A,2023-01-27,A,2023-01-27
1000348,1000348,BRA,M,B,,0,B,2023-01-25,A,2023-01-25
1000349,1000349,BRA,M,B,,0,B,2023-01-30,A,2023-01-30
1000350,1000350,USA,M,B,,0,B,2023-01-25,I,2023-01-25
1000351,1000351,BRA,F,B,,0,B,2023-01-28,A,2023-01-28
1000352,1000352,USA,F,A,,0,A,2023-01-27,A,2023-01-27
1000353,1000353,MEX,,A,,0,A,2023-01-25,A,2023-01-25
1000354,1000354,BRA,F,B,,0,B,2023-01-26,I,2023-01-26
1000355,1000355,FRA,M,A,,0,A,2023-01-26,A,2023-01-26
1000356,1000356,GBR,F,A,,0,A,2023-01-26,I,2023-01-26
1000357,1000357,USA,F,A,,0,A,2023-01-27,I,2023-01-27
1000358,1000358,,F,B,,0,B,2023-01-27,A,2023-01-27
1000359,1000359,GBR,M,B,,0,B,2023-01-27,I,2023-01-27
1000360,1000360,TUR,,B,,0,B,2023-01-25,I,2023-01-25
1000361,1000361,BRA,F,B,,0,B,2023-02-04,I,2023-02-04
1000362,1000362,FRA,M,A,,0,A,2023-01-27,A,2023-01-27
1000363,1000363,ESP,M,A,,0,A,2023-02-06,A,2023-02-06
1000364,1000364,TUR,F,A,,0,A,2023-01-29,A,2023-01-29
1000365,1000365,FRA,F,B,,0,B,2023-01-26,A,2023-01-26
1000366,1000366,TUR,,B,,0,B,2023-02-04,A,2023-02-04
1000367,1000367,BRA,M,B,,0,B,2023-01-25,A,2023-01-25
1000368,1000368,BRA,,A,,0,A,2023-02-03,A,2023-02-03
1000369,1000369,BRA,O,A,,0,A,2023-01-25,I,2023-01-25
1000370,1000370,BRA,M,B,,0,B,2023-01-26,A,2023-01-26
1000371,1000371,USA,M,A,,0,A,2023-02-03,A,2023-02-03
1000372,1000372,AUS,F,B,,0,B,2023-01-27,,2023-01-27
1000373,1000373,FRA,F,A,,0,A,2023-01-30,A,2023-01-30
1000374,1000374,ESP,F,A,,0,A,2023-02-03,A,2023-02-03
1000375,1000375,USA,M,B,,0,B,2023-01-25,A,2023-01-25
1000376,1000376,MEX,F,A,,0,A,2023-01-28,A,2023-01-28
1000377,1000377,BRA,,B,,0,B,2023-02-02,A,2023-02-02
1000378,1000378,USA,F,B,,0,B,2023-01-25,A,2023-01-25
1000379,1000379,MEX,F,A,,0,A,2023-01-25,I,2023-01-25
1000381,1000381,BRA,,B,,0,B,2023-01-26,A,2023-01-26
1000382,1000382,DEU,M,A,,0,A,2023-02-04,I,2023-02-04
1000383,1000383,ESP,,A,,0,A,2023-01-25,A,2023-01-25
1000384,1000384,DEU,F,A,,0,A,2023-01-26,I,2023-01-26
1000385,1000385,DEU,M,A,,0,A,2023-01-26,A,2023-01-26
1000386,1000386,TUR,M,A,,0,A,2023-01-28,A,2023-01-28
1000387,1000387,MEX,F,B,,0,B,2023-02-03,A,2023-02-03
